pathway_name,up
Metabolic pathways,6
Ribosome,6
Bacterial secretion system,4
Biosynthesis of amino acids,4
Arginine biosynthesis,3
Biosynthesis of antibiotics,3
Aminoacyl-tRNA biosynthesis,2
Biosynthesis of secondary metabolites,2
Flagellar assembly,2
Homologous recombination,2
Phosphotransferase system (PTS),2
2-Oxocarboxylic acid metabolism,1
ABC transporters,1
Carbon metabolism,1
Fatty acid biosynthesis,1
Folate biosynthesis,1
Glycerolipid metabolism,1
Microbial metabolism in diverse environments,1
Mismatch repair,1
Protein export,1
Quorum sensing,1
Two-component system,1
